Questions,Answers
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Why don't people like me?,Sometimes it's not about you. True connections take time.
I hate myself,I'm really sorry you feel this way. Want to talk about whats making you feel this way?
My friends are ignoring me,That must feel hurtful. Want to talk about what happened?
I'm being bullied,You don't deserve that. Let's talk about how to stay safe and seek help.
I feel left out,Many teens feel this way. Would you like to talk more about it?
My friend betrayed me,That must be painful. I'm here if you want to talk.
Everyone is better than me,You have your own unique strengths. Let's explore them.
How do I focus on studies?,"Try the Pomodoro techniqueâstudy for 25 minutes, then take a 5-minute break."
I procrastinate a lot,It happens to everyone. Let's create a simple plan together.
How can I manage time better?,Use a planner or time-blocking. Want help building one?
I hate studying,Sometimes it's hard to stay motivated. Lets find ways to make it easier.
I failed a test,Its okay. Failure is a part of learning. Lets figure out what went wrong.
What is self-care?,Self-care means doing things that make you feel good and healthy.
How can I relax?,"Try listening to music, journaling, or a short breathing exercise."
Teach me mindfulness,Sure! Lets start with a simple breathing exercise.
I cant sleep at night,Try reducing screen time before bed and sticking to a sleep routine.
I feel tired all the time,It could be physical or emotional. Want to explore possible reasons?
I'm feeling sad,It's okay to feel sad sometimes. Do you want to talk about whats making you feel this way?
I'm anxious,Anxiety is tough. Would you like some tips to manage it or someone to talk to?
I'm stressed,Stress happens. Lets take a deep breath together. Want some stress-relief tips?
I feel alone,You're not alone. I'm here with you. Would you like to talk about what's going on?
I'm overwhelmed,Take one step at a time. Want some ways to manage this feeling?
I want to cry,Crying can be healing. It's okay to express your emotions.
What is depression?,Depression is a serious mental health issue. It's important to talk to someone if you're feeling low.
How do I know if I have anxiety?,Some signs of anxiety include overthinking and restlessness. I can help you learn more.
What is therapy?,Therapy is a safe space to talk to someone trained to help you manage emotions and life challenges.
Where can I get mental health help?,"You can talk to a counselor, reach out to helplines, or use teen-friendly platforms."
Is it okay to feel anxious?,"Yes, its completely normal to feel anxious sometimes."
I don't feel confident,Confidence takes time. Celebrate your small wins and keep going.
How do I love myself?,Start by being kind to yourself. I can share some tips for daily self-love.
I feel like I don't fit in,Being unique is your strength. You're not alone in this feeling.
Hi,Hello! How can I assist you today?
Hello,Hi there! What would you like to talk about?
Hey,Hey! How can I help you today?
What's up?,All good here! How about you?
How are you?,"I'm doing great, thanks! How are you?"
Good morning,Good morning! Hope you're doing well.
Good evening,Good evening! How can I support you today?
Are you there?,"Yes, Im right here! Whats on your mind?"
Can we talk?,Of course! I'm always here to chat.
I want to talk,Sure! What's on your mind?
Are you a real person?,"Im your virtual friend, always ready to chat!"
You there?,"Yes, Im here! How can I help you?"
Can I ask something?,"Of course, go ahead!"
Is it okay to talk?,Absolutely! Im listening.
What do you do?,"Im here to chat, support, and help however I can."
Salam,Walikum Salam! Kya haal hain aapke?
Kese ho?,"Main theek hoon, aap sunao?"
Hello,Hello! Aap kis cheez ke baray mein baat karna chahte hain?
Kya aap sun sakte ho?,"Jee bilkul, main sun raha hoon."
Kia baat kar sakte hain?,"Haan haan, zaroor!"
Aap kaun ho?,"Main aap ka dost hoon, yahan madad ke liye hoon."
Aap theek ho?,"Jee main bilkul theek hoon, aap kaisay ho?"
Suno,"Jee sun raha hoon, bataiye."
Mujhe baat karni hai,"Zaroor, kis baare mein baat karni hai?"
Aap robot ho?,"Main ek chatbot hoon, lekin dil se baat karta hoon."
Kya aap madad karoge?,Jee zaroor! Aapko kis cheez mein madad chahiye?
Mujhse baat karo,Hamesha! Aap kya baat karna chahte ho?
Mujhe udasi ho rahi hai,"Main yahan hoon, chaliye baat karte hain."
Aap mujhse dosti karoge?,Main toh pehle se aap ka dost hoon :)
Aap sun rahe ho?,"Jee haan, main aapki baat sun raha hoon."
Depression kya hota hai?,Depression aik zehni bechaini ki halat hai jis mein insan udaas aur behaal mehsoos karta hai.
Anxiety kaise manage karen?,Anxiety ko manage karne ke liye relaxation exercises aur positive soch zaroori hai.
Stress ke nishaniyan kya hoti hain?,"Sar dard, neend mein kami, aur ghusse ka barhna stress ki aam nishaniyan hain."
PTSD kya hai?,PTSD aik trauma ke baad hone wala zehni stress hai jo flashbacks aur anxiety la sakta hai.
Mental health ki ahmiyat kya hai?,Mental health zindagi ki quality ko behtareen banane mein madad karti hai.
Kab psychiatrist ke paas jana chahiye?,"Jab aapko lambi udaasi, bechaini ya khudkushi ke khayalat hoon to psychiatrist se raabta karen."
Bipolar disorder kya hota hai?,Bipolar disorder mein mood extreme highs aur lows ke darmiyan badalta rehta hai.
Meditation se mental health kaise improve hoti hai?,Meditation stress kam karta hai aur zehni sukoon deta hai.
Insomnia se kaise nijat payen?,Neend na aane ki problem ko door karne ke liye routine banayen aur caffeine kam karen.
Khudkushi ke khayalat se kaise bachain?,Apne doston ya family se baat karen aur professional madad hasil karen.
Anxiety attack kya hota hai?,"Anxiety attack mein dil tez dhadakta hai aur saans phoolti hai, jo bohat darawna lagta hai."
Therapy kaise madad karti hai?,Therapy aapki feelings samajhne aur unko control karne mein madad karti hai.
Mental health disorders ka ilaaj mumkin hai?,"Ji haan, ilaaj therapy aur dawaon se mumkin hai."
Aik accha friend mental health mein kaisa madadgar hota hai?,Wo support aur encouragement deta hai jo stress kam karta hai.
Social media ka mental health par kya asar hota hai?,Social media kabhi kabar anxiety aur depression barha sakta hai agar zyada use ho.
Stress relief ke liye kaunse activities achi hain?,"Exercise, hobbies, aur meditation stress kam karne mein madadgar hain."
Child mental health ko kaise support karen?,Unki baat sunen aur unko positive environment dein.
Ghabrahat (panic attack) se kaise deal karen?,Deep breathing aur apne aap ko calm karne ki koshish karen.
Mental health stigma ko kaise kam karen?,Awareness badha kar aur logon ko educate karke stigma kam kiya ja sakta hai.
Work stress ko kaise handle karen?,Time management aur break lena work stress kam karne mein madad karta hai.
Kya depression sirf udaasi hoti hai?,"Nahi, depression mein umeed ki kami, thakan, aur interest ka kam ho jana bhi shamil hai."
Kya bachon mein anxiety hoti hai?,"Ji haan, bachon mein bhi anxiety ho sakti hai, jo school aur social pressure ki wajah se hoti hai."
Mental health ke liye exercise kitni zaroori hai?,Exercise zehni sehat ke liye bohat faidemand hai aur stress kam karti hai.
Kya depression ke liye dawai lena zaroori hai?,"Kuch cases mein dawai madadgar hoti hai, lekin therapy bhi bohat zaroori hoti hai."
Negative thoughts se kaise nijat mile?,Positive self-talk aur mindfulness exercises negative thoughts ko kam karte hain.
Kya har udaasi depression hoti hai?,"Nahi, sab udaasi depression nahi hoti, lekin agar lambi aur zyada ho to doctor se milen."
Apne aap ko kaise motivate karen?,"Goals banayen, chhoti chhoti achievements ko celebrate karen, aur positive logon ke saath rahen."
Loneliness ka mental health par kya asar hai?,Loneliness depression aur anxiety badha sakti hai.
Stress se bachne ke liye kya karna chahiye?,Relaxation techniques aur healthy lifestyle apnana chahiye.
Mental health problems ke signs kya hain?,"Mood changes, neend mein masail, aur social isolation mental health ke signs hain."
Kya stress har waqt bura hota hai?,"Thoda stress normal hai, lekin zyada stress sehat ko nuqsan pohanchata hai."
Kya therapy sirf pagal logon ke liye hai?,"Nahi, therapy har us shakhs ke liye hai jo apni feelings aur problems samajhna chahta hai."
Mental health ko behtar banane ke liye diet ka kya kirdar hai?,Healthy diet zehni sehat ko improve karti hai.
Anxiety attack ke dauran kya karna chahiye?,Saans ko slow aur gehra karen aur apne aap ko calm karne ki koshish karen.
Family support mental health mein kyun zaroori hai?,Family ka support zehni bechaini kam karta hai aur recovery mein madadgar hota hai.
Social isolation se kaise bachain?,Doston se milen aur social activities mein hissa len.
Kya meditation har shakhs ke liye faidemand hai?,"Ji haan, meditation sab ke liye acha hai, chahe stress ho ya anxiety."
Sleep disorders mental health ko kaise affect karte hain?,Neend ki kami se depression aur anxiety barh sakti hai.
Kya alcohol mental health ko affect karta hai?,"Ji haan, alcohol depression aur anxiety ko barha sakta hai."
Work-life balance mental health ke liye kyu zaroori hai?,Work-life balance se stress kam hota hai aur zehni sehat behtar hoti hai.
Achi neend ke liye kya karna chahiye?,"Regular routine, kam caffeine, aur screen time kam karna madadgar hota hai."
Panic attack ke symptoms kya hain?,"Dil tez dhadakna, paseena, saans phoolna, aur ghabrahat panic attack ke symptoms hain."
Kya zehni bemari genetic hoti hai?,"Kuch mental disorders genetic bhi ho sakti hain, lekin environment bhi asar karta hai."
Mental health ke liye hobbies ka kya role hai?,Hobbies stress kam karti hain aur zehni sukoon deti hain.
Emotional support ka mental health par kya asar hai?,Emotional support se stress kam hota hai aur self-esteem barhti hai.
Kya depression bachon mein bhi hota hai?,"Ji haan, bachon mein bhi depression ho sakta hai, aur unko professional madad chahiye hoti hai."
Kya stress ka asar sirf mental health par hota hai?,"Nahi, stress se physical health bhi affect hoti hai, jaise heart problems."
Social anxiety se kaise nijat mile?,Gradual exposure aur therapy se social anxiety kam ho sakti hai.
Kya khud se madad karna mumkin hai?,"Ji haan, meditation, exercise, aur positive soch se apni madad kar sakte hain."
Mental health problems ko chhupana theek hai?,"Nahi, problems ko share karna aur madad lena zaroori hai."
Kya mental health issues sirf adults ko hoti hain?,"Nahi, bachay aur buzurg dono mental health problems face kar sakte hain."
Kya meditation anxiety ka ilaaj hai?,"Meditation anxiety ko control karne mein madad karta hai, lekin ilaaj ke liye professional madad zaroori hai."
Depression mein sab se pehla step kya hona chahiye?,Apni feelings ko samajhna aur kisi se baat karna zaroori hota hai.
Mental health awareness kyun zaroori hai?,Awareness se logon ko samajh aati hai ke mental health problems normal hain aur unka ilaaj mumkin hai.
Kya stressful situations se mental illness hoti hai?,"Haan, lambi stress mental illness ka sabab ban sakta hai."
Kya khudkushi ka khayal har depression mein hota hai?,"Nahi, lekin kuch severe depression mein ye khayalat ho sakte hain."
Kya therapy se har shakhs ko faida hota hai?,"Therapy har shakhs ko alag tareeqay se faida karti hai, lekin zyadatar ke liye madadgar hoti hai."
Mental health problems ka ilm har shakhs ko hona chahiye?,"Ji haan, taake wo apni ya dusron ki madad kar sakein."
Kya log mental illness ko chhupate hain?,Bahut se log social stigma ki wajah se chhupate hain.
Mental health ka support system kya hota hai?,"Dost, family, doctors, aur counselors mil kar support system banate hain."
Kya technology ka zyada istemal mental health ko affect karta hai?,"Haan, zyada screen time se anxiety aur depression barh sakte hain."
Kya hum apni mental health khud improve kar sakte hain?,"Ji haan, positive habits apna kar hum apni mental health behtar kar sakte hain."
Stress kam karne ke liye meditation kitni der karni chahiye?,Rozana 10 se 20 minutes meditation kaafi hoti hai.
Kya anxiety ki wajah se physical problems bhi ho sakti hain?,"Ji haan, jaise dizziness, headache, aur stomach problems."
Kya mental illness mein dawa lena zaroori hai?,"Kuch cases mein dawa zaroori hoti hai, lekin doctor se mashwara lena chahiye."
Depression kaise pehchanain?,"Lambi udaasi, thakan, aur interest ki kami depression ke alam hain."
Kya mental health issues ki wajah se log kamzor hote hain?,"Nahi, mental illness kisi ki kamzori nahi, ye aik medical condition hai."
Stress ko manage karne ke liye kaunse hobbies madadgar hain?,"Painting, music, aur reading stress kam karne ke liye achi hobbies hain."
Kya har kisi ko mental health counseling ki zaroorat hoti hai?,"Nahi, lekin agar problem ho to counseling madadgar hoti hai."
Family therapy kya hoti hai?,Family therapy mein puri family mil kar apni problems ka hal dhoondti hai.
Kya depression sirf zehni halat hai?,"Nahi, ye physical health par bhi asar daalti hai."
Kya positive soch mental health behtar karti hai?,"Ji haan, positive thinking stress aur anxiety ko kam karti hai."
Kya bachon mein behavioral problems mental health ka hissa hain?,"Haan, behavioral problems bhi mental health ka hissa ho sakti hain."
Kya social support mental illness se recovery mein madad karta hai?,"Ji haan, social support bohat madadgar hota hai."
Kya kisi ko mental illness diagnose karna mushkil hota hai?,"Kabhi kabar symptoms confuse kar sakte hain, is liye expert diagnosis zaroori hai."
Kya sleep apnea mental health ko affect karta hai?,"Ji haan, neend ke masail se mental health problem barh sakti hai."
Kya mental health improve karne ke liye medication se zyada therapy zaroori hai?,"Dono important hain, case ke mutabiq doctor faisla karta hai."
Kya hobbies stress kam karne mein madad karti hain?,"Haan, hobbies zehni stress kam karte hain aur mood behtar banate hain."
Kya meditation se depression door hota hai?,"Meditation depression ko manage karne mein madad karta hai, ilaaj ka mukammal tareeqa nahi."
Kya smoking mental health ko nuqsan pohanchati hai?,"Ji haan, smoking anxiety aur depression barha sakti hai."
Mental health issues ke liye family ko kya karna chahiye?,"Samajhna, support karna aur professional madad lena zaroori hai."
Kya hum apne zehni dard ko samajh sakte hain?,"Ji haan, self-awareness mental health ke liye bohat zaroori hai."
Kya anxiety aur depression ek saath ho sakte hain?,"Ji haan, bohat log dono conditions ek saath face karte hain."
Kya mental health problems sirf stress ki wajah se hoti hain?,"Nahi, genetics, environment aur lifestyle bhi asar daalte hain."
Kya family conflicts mental health ko affect karte hain?,"Ji haan, conflicts anxiety aur depression ko barha sakte hain."
Kya exercise se mental health better hoti hai?,"Ji haan, exercise se endorphins release hote hain jo mood improve karte hain."
Kya insaan khud apni mental health ko behtar kar sakta hai?,"Ji haan, lekin kabhi kabar professional help bhi zaroori hoti hai."
Kya stress sirf zehni sehat ko affect karta hai?,"Nahi, stress se physical sehat bhi effect hoti hai."
Kya mental health problems genetics se hoti hain?,"Kuch problems genetic hoti hain, lekin environment bhi bohat ahm hai."
Kya hum apni feelings ko control kar sakte hain?,"Ji haan, therapy aur practice se feelings control karna seekha ja sakta hai."
Kya mental health ka asar hamare rishton par hota hai?,"Ji haan, mental health rishton ko behtareen ya kharab kar sakti hai."
Kya bachon ki mental health par parents ka asar hota hai?,"Ji haan, parents ki support aur environment bohat ahm hota hai."
Kya stress se immunity kamzor hoti hai?,"Haan, lamba stress immune system ko kamzor karta hai."
Kya emotional eating mental health ko effect karta hai?,"Ji haan, emotional eating stress aur anxiety barha sakti hai."
Kya positive relationships mental health ko behtar karti hain?,"Ji haan, achi relationships stress kam karti hain aur khushi barhati hain."
Kya loneliness se depression ho sakta hai?,"Ji haan, loneliness depression ka sabab ban sakti hai."
Kya mental health problems ko ignore karna theek hai?,"Nahi, ignore karne se problems barh sakti hain, madad lena zaroori hai."
Kya mental health problems sirf adults mein hoti hain?,"Nahi, bachay aur buzurg dono mental health problems face kar sakte hain."
Kya anxiety aur panic attack mein farq hota hai?,"Ji haan, anxiety gradual hoti hai jabke panic attack achanak aur intense hota hai."
Kya depression sirf udaasi ka naam hai?,"Nahi, depression ek medical condition hai jo bohat si symptoms se hoti hai."
Kya stress hamesha negative hota hai?,"Nahi, thoda stress motivate kar sakta hai, magar zyada stress nuqsan dayk hota hai."
Kya therapy lena sirf pagalpan ka saboot hai?,"Bilkul nahi, therapy har kisi ke liye madadgar aur normal cheez hai."
Kya kisi ko mental illness hoti hai to uska career khatam?,"Nahi, sahi treatment se insan apni zindagi normal rakh sakta hai."
Kya drugs mental health problems ko badhate hain?,"Ji haan, drugs aur alcohol mental health ko serious nuqsan pohanchate hain."
Kya meditation se stress kam hota hai?,"Ji haan, meditation se zehni sakoon milta hai aur stress kam hota hai."
Kya rozana exercise mental health ko improve karti hai?,"Haan, exercise se mood behtar hota hai aur anxiety kam hoti hai."
Kya hum apni feelings apne dost se share kar sakte hain?,"Ji haan, apne jazbaat share karna mental health ke liye achha hai."
Kya rozana neend puri karna zaroori hai?,"Ji haan, neend puri na hone se mental health par asar parta hai."
Kya depression ka ilaaj sirf dawa se hota hai?,"Nahi, therapy aur lifestyle changes bhi zaroori hain."
Kya hum apni mental health khud monitor kar sakte hain?,"Ji haan, apni halat ko samajhna aur signs pe tawajju dena madadgar hota hai."
Kya kisi ko mental illness ka pata chalta hai?,Professional diagnosis se hi maloom hota hai.
Kya anxiety ki wajah se log kaam nahi kar pate?,Kabhi kabar anxiety itni zyada hoti hai ke kaam mein mushkil hoti hai.
Kya mental health ke liye diet important hai?,"Ji haan, sehatmand diet zehni sehat ko support karti hai."
Kya hum apni mental health ko phone apps se behtar kar sakte hain?,"Kuch apps madadgar hain, lekin professional help bhi zaroori hai."
Kya mental health problems me social media ka asar hota hai?,Kabhi kabar social media anxiety aur depression barhata hai.
Kya hum apne emotions ko control kar sakte hain?,"Ji haan, practice aur therapy se emotions ko manage kiya ja sakta hai."
Kya family ka support mental health mein madad karta hai?,"Ji haan, family support bohat ahm hota hai."
Kya khudkushi ke khayalat normal hain?,"Kabhi kabar hotay hain, lekin agar zyada hon to madad leni chahiye."
Kya stress sirf mental nahi physical problems bhi deta hai?,"Haan, stress se headache, stomach problems aur heart issues bhi ho sakte hain."
Kya hum kisi ki mental health ko behtar kar sakte hain?,"Haan, support aur samajh se hum dusron ki madad kar sakte hain."
Kya rozana stress lena health ke liye nuksan hai?,"Haan, lamba stress bohat nuksan dayk hota hai."
